"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 23 22:22:30 IST 2026","Mon Feb 23 22:22:32 IST 2026","1496","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Cannot publish service with deprecated model — moderator_client_with_valid_api_key","
        BUSINESS RULE: Cannot publish a service when its associated model is deprecated
        Flow: Create model → create service → deprecate model → attempt publish service → expect 400/422/409
        Expected: 400/422/409 with error details
        "
"passed","Mon Feb 23 22:22:19 IST 2026","Mon Feb 23 22:22:20 IST 2026","1578","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Publish and unpublish service — admin_client_with_valid_api_key","
        ADMIN & MODERATOR: Publish then unpublish a service
        Flow: Create model → create service → publish → verify → unpublish → verify → cleanup
        Expected: 200 with correct isPublished state after each update
        "
"passed","Mon Feb 23 22:22:16 IST 2026","Mon Feb 23 22:22:17 IST 2026","1161","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Update service hardware description — admin_client_with_valid_api_key","
        ADMIN & MODERATOR: Update hardwareDescription of a service
        Flow: Create model → create service → fetch serviceId → patch → verify
        Expected: 200 with success message and updated hardwareDescription
        "
"passed","Mon Feb 23 22:22:20 IST 2026","Mon Feb 23 22:22:22 IST 2026","1616","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Publish and unpublish service — moderator_client_with_valid_api_key","
        ADMIN & MODERATOR: Publish then unpublish a service
        Flow: Create model → create service → publish → verify → unpublish → verify → cleanup
        Expected: 200 with correct isPublished state after each update
        "
"passed","Mon Feb 23 22:22:17 IST 2026","Mon Feb 23 22:22:19 IST 2026","1321","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Update service hardware description — moderator_client_with_valid_api_key","
        ADMIN & MODERATOR: Update hardwareDescription of a service
        Flow: Create model → create service → fetch serviceId → patch → verify
        Expected: 200 with success message and updated hardwareDescription
        "
"passed","Mon Feb 23 22:22:08 IST 2026","Mon Feb 23 22:22:12 IST 2026","4396","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Update service description — admin_client_with_valid_api_key","
        ADMIN & MODERATOR: Update serviceDescription of a service
        Flow: Create model → create service → fetch serviceId → patch → verify
        Expected: 200 with success message and updated serviceDescription
        "
"passed","Mon Feb 23 22:22:12 IST 2026","Mon Feb 23 22:22:16 IST 2026","3928","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Update service description — moderator_client_with_valid_api_key","
        ADMIN & MODERATOR: Update serviceDescription of a service
        Flow: Create model → create service → fetch serviceId → patch → verify
        Expected: 200 with success message and updated serviceDescription
        "
"failed","Mon Feb 23 22:22:25 IST 2026","Mon Feb 23 22:22:28 IST 2026","3253","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Unauthorized roles cannot update service — guest_client_with_valid_api_key","
        USER & GUEST: Attempt to update a service (should be denied)
        Expected: 401 Unauthorized or 403 Forbidden
        "
"failed","Mon Feb 23 22:22:28 IST 2026","Mon Feb 23 22:22:30 IST 2026","1733","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Cannot publish service with deprecated model — admin_client_with_valid_api_key","
        BUSINESS RULE: Cannot publish a service when its associated model is deprecated
        Flow: Create model → create service → deprecate model → attempt publish service → expect 400/422/409
        Expected: 400/422/409 with error details
        "
"passed","Mon Feb 23 22:22:22 IST 2026","Mon Feb 23 22:22:22 IST 2026","162","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Update service with invalid serviceId — admin_client_with_valid_api_key","
        ADMIN & MODERATOR: Update a service with invalid/non-existent serviceId
        Expected: 404 Not Found
        "
"passed","Mon Feb 23 22:22:22 IST 2026","Mon Feb 23 22:22:22 IST 2026","158","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Update service with invalid serviceId — moderator_client_with_valid_api_key","
        ADMIN & MODERATOR: Update a service with invalid/non-existent serviceId
        Expected: 404 Not Found
        "
"failed","Mon Feb 23 22:22:22 IST 2026","Mon Feb 23 22:22:25 IST 2026","3010","tests.test_model_management","test_model_management_update_services","TestModelManagementUpdateServices","","","Unauthorized roles cannot update service — user_client_with_valid_api_key","
        USER & GUEST: Attempt to update a service (should be denied)
        Expected: 401 Unauthorized or 403 Forbidden
        "
